strain,clade_membership,mutational_fitness
SYC/G40372/2021,"20H (Beta, V2)",0.67
VEN/Bol5332/2021,"20J (Gamma, V3)",0.83
OU073845,"20I (Alpha, V1)",0.68
PER/UPCH_cov0446/2021,21G (Lambda),0.86
PER/UPCH_cov0452/2021,21G (Lambda),0.77
TGO/nmimr-TG-SARS-CoV-2-TGS-044-21/2021,20B,0.41
Lebanon/QIB-255/2021,"20I (Alpha, V1)",0.73
USA/MD-CDC-LC0017287/2021,"20I (Alpha, V1)",0.74
ITA/Naples_FedericoII-04/2021,20E (EU1),0.47
USA/MN-MDH-4259/2021,21C (Epsilon),0.59
PER/un-CDC-4051688-001/2021,21G (Lambda),0.77
IRQ/Samawa-44/2021,"20I (Alpha, V1)",0.7
BRA/1236/2021,"20J (Gamma, V3)",0.98
UGA/MAKCHScov8/2021,20A,0.45
USA/GU-CDC-2-4634563/2021,21C (Epsilon),0.55
PER/un-CDC-4051692-001/2021,21G (Lambda),0.77
TUN/TUN-IPT-Q8734/2021,"20I (Alpha, V1)",0.71
IRQ/Samawa-41/2021,"20I (Alpha, V1)",0.74
USA/SD-SDPHL-0180/2021,21C (Epsilon),0.59
NZL/21MV0116/2021,20D,0.85
USA/NV-CDC-QDX22356269/2021,21C (Epsilon),0.63
AUT/2021010265/2021,20A,0.71
Mexico/SEARCH-100615/2021,21C (Epsilon),0.57
BHR/341568875/2021,"20I (Alpha, V1)",0.73
Switzerland/NE-ETHZ-510746/2020,20A,0.45
USA/RI-CDC-2-3992962/2021,20G,0.5
LBY/BTRCLibyaSARS-CoV-2WGS-35/2021,20B,0.53
Pantheraleopersica/CZE/3855-1/2021,"20I (Alpha, V1)",0.71
USA/ME-CDC-QDX22441623/2021,20C,0.47
BRA/1441/2021,20B,0.52
BRA/1431/2021,20B,0.52
BRA/1447/2021,20B,0.52
BLR/Sars-Cov-2isolate724GomelBelarus/2021,20A,0.36
DJI/NAMRU3_C642/2021,"20I (Alpha, V1)",0.8
SOM/NAMRU3_Mog_46/2021,"20H (Beta, V2)",0.5
VEN/LaG1414/2021,20A,0.45
PER/UPCH_cov0449/2021,21G (Lambda),0.77
BRA/PR-HF109/2021,20B,0.87
USA/LA-CDC-2-4012855/2021,"20I (Alpha, V1)",0.74
USA/CA-CZB-29208/2021,21C (Epsilon),0.58
USA/NV-CDC-2-4634191/2021,21C (Epsilon),0.59
BRA/PR-HF142/2021,20B,0.78
Lebanon/QIB-478/2021,"20I (Alpha, V1)",0.72
NZL/21MV0156/2021,"20I (Alpha, V1)",0.78
NGA/BCVL-24772/2021,"20I (Alpha, V1)",0.76
BRA/PR-HF114/2021,"20J (Gamma, V3)",0.82
BRA/PR-HF105/2021,20B,0.52
PER/UPCH_cov0462/2021,21G (Lambda),0.81
PER/UPCH_cov0468/2021,21G (Lambda),0.8
EGY/PHARCO-ARMY88/2021,20A,0.48
USA/TG795434/2021,"20I (Alpha, V1)",0.73
USA/ID-CDC-ASC210003828/2021,20G,0.46
Lebanon/QIB-521/2021,"20I (Alpha, V1)",0.72
URY/374/2021,"20J (Gamma, V3)",0.83
URY/380/2021,20B,0.52
NZL/21MV0174/2021,20B,0.42
Lebanon/QIB-528/2021,"20I (Alpha, V1)",0.72
GHA/nmimr-SARS-CoV-2-NTRA-21-36811/2021,21D (Eta),0.68
VEN/Anz7498/2021,20A,0.54
USA/MP-CDC-2-4084518/2021,20G,0.44
VEN/Dtt54/2021,"20J (Gamma, V3)",0.82
PER/UPCH_cov0464/2021,21G (Lambda),0.8
Switzerland/SO-ETHZ-540921/2020,"20I (Alpha, V1)",0.7
USA/VA-CDC-LC0034332/2021,20B,0.61
USA/MP-CDC-2-4084429/2021,20G,0.44
FIN/TKU-1/2021,"20H (Beta, V2)",0.63
England/MILK-13EDAD8/2021,"20I (Alpha, V1)",0.76
England/ALDP-141796E/2021,"20I (Alpha, V1)",0.73
USA/KY-CDC-LC0028715/2021,20A,0.38
USA/CA-CDC-FG-014910/2021,"20I (Alpha, V1)",0.75
OU097784,20E (EU1),0.51
Gorillagorillagorilla/CZE/5145-2/2021,"20I (Alpha, V1)",0.71
VEN/Mir17/2021,"20J (Gamma, V3)",0.82
DJI/NAMRU3_MM/2021,"20H (Beta, V2)",0.71
Mexico/SEARCH-8876/2021,21C (Epsilon),0.6
Dog/ESP/B.1.1.7/2021,"20I (Alpha, V1)",0.77
KEN/C88875/2021,"20I (Alpha, V1)",0.76
USA/KS-CDC-ASC210020036/2021,"20I (Alpha, V1)",0.73
USA/WY-CDC-2-4122609/2021,"20I (Alpha, V1)",0.74
USA/AK-PHL7759/2021,20B,0.6
Feliscatus/PER/UPCH_sc2_cat1/2021,21G (Lambda),0.76
Scotland/QEUH-14894DF/2021,"20I (Alpha, V1)",0.77
AUT/SKV-111/2021,"20I (Alpha, V1)",0.73
USA/OK-CDC-LC0039703/2021,"20I (Alpha, V1)",0.74
USA/MT-CDC-ASC210026315/2021,20B,0.59
TWN/CGMH-CGU-59/2021,"20H (Beta, V2)",0.76
Lebanon/QIB-704/2021,"20I (Alpha, V1)",0.77
OU475078,"20I (Alpha, V1)",0.71
MLI/MAL0119/2021,21D (Eta),0.65
Estonia/Cov11297/2021,"20I (Alpha, V1)",0.74
Estonia/Cov11436/2021,"20I (Alpha, V1)",0.74
SOM/NAMRU3_Mog_10/2021,"20I (Alpha, V1)",0.76
TWN/CGMH-CGU-60/2021,"20I (Alpha, V1)",0.73
MLI/MAL0129/2021,21D (Eta),0.73
USA/OK-CDC-ASC210046988/2021,"20I (Alpha, V1)",0.73
USA/MI-CDC-ASC210049321/2021,"20I (Alpha, V1)",0.78
SAU/KAIMRC-S835/2021,"20I (Alpha, V1)",0.72
USA/TX-CDC-QDX23654702/2021,"20I (Alpha, V1)",0.8
BRA/PR-HF365/2021,"20J (Gamma, V3)",0.82
Switzerland/ZH-ETHZ-571070/2021,"20I (Alpha, V1)",0.73
MWI/MLW00219/2021,21A (Delta),1.08
VEN/Mir761/2021,"20J (Gamma, V3)",0.83
BRA/PR-HF322/2021,"20J (Gamma, V3)",0.82
BRA/PR-HF296/2021,"20J (Gamma, V3)",0.83
BRA/PR-HF347/2021,"20J (Gamma, V3)",0.82
USA/MT-CDC-ASC210053629/2021,"20I (Alpha, V1)",0.75
Pakistan/UHS-PAK-S48/2021,"20I (Alpha, V1)",0.75
BRA/PR-HF351/2021,20B,0.8
USA/MA-CDC-ASC210056833/2021,"20I (Alpha, V1)",0.79
SYC/SS459/2021,"20H (Beta, V2)",0.65
USA/OK-CDC-ASC210057271/2021,"20I (Alpha, V1)",0.78
TWN/CGMH-CGU-62/2021,20A,0.63
OU319140,"20I (Alpha, V1)",0.73
OU165044,"20I (Alpha, V1)",0.71
DJI/NAMRU3_F385/2021,"20H (Beta, V2)",0.7
NLD/210429-986211516885/2021,"20I (Alpha, V1)",0.72
USA/DC-CDC-LC0047142/2021,21F (Iota),0.76
USA/ND-CDC-IBX114689768074/2021,21F (Iota),0.73
VEN/DeA1365/2021,"20J (Gamma, V3)",0.83
VEN/Dtt24/2021,"20J (Gamma, V3)",0.86
USA/CT-CDCBI-CRSP_RSNCY7EW3BY3ZPAX/2021,20C,0.43
VEN/Ama1935/2021,"20J (Gamma, V3)",0.85
USA/WI-CDC-ASC210075692/2021,"20I (Alpha, V1)",0.75
NGA/BCVL-25699/2021,"20I (Alpha, V1)",0.8
ITA/ABR-IZSGC-TE226367/2021,21D (Eta),0.65
MAR/CNRST-IND2-2021/2021,21B (Kappa),0.93
USA/MA-CDCBI-CRSP_T57B6AFHLYNQPBCJ/2021,20G,0.31
USA/CA-CDC-FG-027651/2021,20B,0.69
EGY/Egypt-Army-Thirdwave-319/2021,19B,0.5
TUN/TUN-202129459/2021,"20H (Beta, V2)",0.66
NZL/21CH0025/2021,"20I (Alpha, V1)",0.75
USA/KS-CDC-QDX24365327/2021,"20J (Gamma, V3)",0.85
PHL/COVID-62779/2021,"20H (Beta, V2)",0.73
MYS/NCOV60935/2021,"20H (Beta, V2)",0.68
KEN/C94433/2021,"20H (Beta, V2)",0.73
ETH/S15/2021,20A,0.41
EGY/CCHE57357_Wave_3_A002/2021,20D,0.95
USA/OK-CDC-ASC210058190/2021,"20I (Alpha, V1)",0.76
USA/CO-CDC-FG-032752/2021,"20I (Alpha, V1)",0.77
USA/OH-CDC-ASC210037888/2021,"20I (Alpha, V1)",0.79
USA/NE-CDC-ASC210037732/2021,"20I (Alpha, V1)",0.72
Feliscatus/PER/UPCH_sc2_cat3/2021,21G (Lambda),0.76
USA/HI-CDC-QDX24632549/2021,"20J (Gamma, V3)",0.82
BRA/4230/2021,20B,0.67
NZL/21MV0403/2021,"20I (Alpha, V1)",0.74
VEN/Car8286/2021,"20J (Gamma, V3)",0.82
BRA/4250/2021,20B,0.65
MLI/MAL0138/2021,21D (Eta),0.65
FIN/hCoV19-Fin-THL202117309/2021,21J (Delta),1.19
USA/SC-COVID21-1774/2021,20G,0.48
DJI/NAMRU3_A175/2021,"20H (Beta, V2)",0.7
BRA/cv/2021,20B,0.68
VEN/Zul6567/2021,20A,0.75
USA/MI-CDC-ASC210061193/2021,"20I (Alpha, V1)",0.77
USA/NV-CDC-LC0059498/2021,"20I (Alpha, V1)",0.73
USA/IN-CDC-STM-000073156/2021,"20I (Alpha, V1)",0.75
IND/RGCB-LMMD-8/2021,21A (Delta),0.94
AUT/SKV-173/2021,"20I (Alpha, V1)",0.73
USA/RI-CDC-2-4451067/2021,"20I (Alpha, V1)",0.73
AUT/SKV-181/2021,"20I (Alpha, V1)",0.7
USA/NE-CDC-ASC210062791/2021,"20I (Alpha, V1)",0.74
VEN/Yar9463/2021,"20J (Gamma, V3)",0.81
AUT/SKV-177/2021,"20I (Alpha, V1)",0.7
USA/WI-CDC-LC0061397/2021,"20I (Alpha, V1)",0.74
USA/ND-CDC-IBX684703530447/2021,"20I (Alpha, V1)",0.7
AUT/SKV-171/2021,"20I (Alpha, V1)",0.7
OU475716,"20I (Alpha, V1)",0.71
KEN/C97007/2021,21A (Delta),1.12
BHR/920972571/2021,21I (Delta),1.08
ITA/ABR-IZSGC-TE274189/2021,21D (Eta),0.64
PER/AFI00513/2021,"20J (Gamma, V3)",0.89
England/ALDP-159CD37/2021,21J (Delta),1.27
NLD/2012292__2019-nCoV/2021,"20I (Alpha, V1)",0.72
USA/PR-CDC-ASC210065937/2021,"20I (Alpha, V1)",0.74
USA/OH-UHTL-938/2021,21F (Iota),0.66
VEN/Mir6242/2021,"20J (Gamma, V3)",0.83
Pakistan/UHS2-Pak-33/2021,"20I (Alpha, V1)",0.74
USA/VSP2896/2021,"20I (Alpha, V1)",0.69
SYC/SS992/2021,"20H (Beta, V2)",0.66
USA/AL-CDC-ASC210066431/2021,"20I (Alpha, V1)",0.73
VEN/Dtt292/2021,"20J (Gamma, V3)",0.82
TUN/TUN-202136107/2021,"20H (Beta, V2)",0.76
MMR/DSMRC012/2021,"20I (Alpha, V1)",0.62
THA/AFRIMS-COV0413/2021,"20I (Alpha, V1)",0.73
CHN/5873/2021,21A (Delta),1.16
CHN/5939/2021,21A (Delta),1.17
USA/ID-CDC-MMB09007021/2021,"20I (Alpha, V1)",0.74
USA/MN-CDC-IBX047241426097/2021,"20I (Alpha, V1)",0.74
CHN/6190/2021,21A (Delta),1.17
England/ALDP-1621FA9/2021,21J (Delta),1.26
OU323830,"20I (Alpha, V1)",0.71
THA/AFRIMS-COV0533/2021,"20I (Alpha, V1)",0.73
NZL/21CH0035/2021,"20I (Alpha, V1)",0.77
SLE/SL37/2021,20A,0.61
MMR/Yangon-dsmrc-032/2021,21A (Delta),0.92
BHR/342240321/2021,21I (Delta),1.07
EGY/CCHE57357_W3_A136/2021,20D,0.7
NZL/21MV0488/2021,21J (Delta),1.22
OU429112,21J (Delta),1.19
MEX/JAL_1247/2021,"20I (Alpha, V1)",0.73
OU361229,"20I (Alpha, V1)",0.73
USA/AL-CDC-LC0079354/2021,"20I (Alpha, V1)",0.96
MWI/MLW00068/2021,21I (Delta),1.16
KEN/C100526/2021,21J (Delta),1.24
OU359969,21J (Delta),1.19
Liechtenstein/FL-Risch-2161804225/2021,21J (Delta),1.16
NLD/2417301/2021,21J (Delta),1.28
USA/FL-BPHL-10816/2021,"20J (Gamma, V3)",0.92
USA/RI-CDC-2-4611952/2021,"20I (Alpha, V1)",0.75
HongKong/HKPU-00195/2021,21J (Delta),1.22
THA/AFRIMS-COV1365/2021,21A (Delta),1.06
PER/AFI00996/2021,"20J (Gamma, V3)",0.87
UZB/UZB-415/2021,"20I (Alpha, V1)",0.95
Mexico/CHH-SEARCH-105368/2021,"20J (Gamma, V3)",0.85
OU451139,21J (Delta),1.2
USA/FL-CDC-LC0089551/2021,21J (Delta),1.23
SRB/ZJZKV0002-29-06/2021,21J (Delta),1.19
BGD/Laila_49/2021,21J (Delta),1.17
NGA/BCVL-26005/2021,21J (Delta),1.21
USA/AR-UMGC-5496/2021,21I (Delta),1.12
DJI/NAMRU3_C675/2021,21J (Delta),1.2
THA/AFRIMS-COV1515/2021,21J (Delta),1.23
AUT/SKV-209/2021,21J (Delta),1.19
AUT/SKV-211/2021,21J (Delta),1.16
MAR/CNRST132_INH5900/2021,21J (Delta),1.2
USA/MP-CDC-2-4634281/2021,21J (Delta),1.21
MWI/MLW00186/2021,21A (Delta),1.09
OU857585,21J (Delta),1.15
USA/MP-CDC-2-4813478/2021,"20I (Alpha, V1)",0.73
NZL/21CV0215/2021,21I (Delta),1.21
SYC/SS2592/2021,21J (Delta),1.2
THA/AFRIMS-COV2095/2021,21A (Delta),1.1
Liechtenstein/FL-Risch-2171403749/2021,21J (Delta),1.16
USA/ND-CDC-MMB09375450/2021,21J (Delta),1.19
IND/GBRC1292/2021,21J (Delta),1.23
OU706471,21J (Delta),1.32
USA/KY-CDC-LC0169840/2021,21J (Delta),1.28
NZL/21MV0613/2021,21J (Delta),1.2
BHR/921175193/2021,21I (Delta),1.15
BGD/Laila_269/2021,21J (Delta),1.19
Liechtenstein/FL-Risch-2172603123/2021,21J (Delta),1.19
THA/AFRIMS-COV3537/2021,21A (Delta),1.1
MNG/202107065/2021,21J (Delta),1.24
USA/MI-CDC-FG-054898/2021,21J (Delta),1.22
USA/OR-CDC-ASC210234043/2021,21A (Delta),1.09
NZL/21CV0566/2021,21J (Delta),1.22
NGA/BCVL-26690/2021,21J (Delta),1.18
MLI/MAL0143/2021,21D (Eta),0.64
USA/KY-QDX-27431706/2021,20A,1.05
USA/NV-CDC-QDX27347879/2021,21J (Delta),1.19
NGA/BCVL-26866/2021,21J (Delta),1.18
BGD/Laila_431/2021,21A (Delta),1.01
USA/RI-CDC-LC0190699/2021,21A (Delta),1.11
USA/TX-CDC-ASC210238677/2021,21J (Delta),1.16
PER/CF02000-SW-V0101/2021,20D,0.75
PER/CF00200-SW-V0101/2021,21G (Lambda),0.77
PER/CF00201-SW-V0401/2021,21G (Lambda),0.77
PER/CF00201-SW-V0201/2021,21G (Lambda),0.77
PER/CF00100-SW-V0101/2021,21G (Lambda),0.77
England/MILK-1AF0A17/2021,21J (Delta),1.25
USA/OR-CDC-LC0186246/2021,21J (Delta),1.22
USA/VA-CDC-LC0165042/2021,21J (Delta),1.24
USA/DC-CDC-LC0177828/2021,21J (Delta),1.34
England/PLYM-1B3A3D9/2021,21J (Delta),1.26
SYC/SS3443/2021,21J (Delta),1.19
MLI/MAL0109/2021,21J (Delta),1.15
USA/AR-CDC-LC0209339/2021,21J (Delta),1.18
CHN/Delta-1/2021,21J (Delta),1.22
THA/AFRIMS-COV5012/2021,21J (Delta),1.23
OU706909,21J (Delta),1.13
THA/AFRIMS-COV5077/2021,21A (Delta),1.09
Switzerland/VS-ICH-2210831907/2021,21J (Delta),1.13
AUT/SKV-241/2021,21J (Delta),1.23
AUT/SKV-240/2021,21J (Delta),1.23
England/MILK-1BF38EC/2021,21J (Delta),1.28
England/QEUH-1BFE1E6/2021,21J (Delta),1.26
NZL/21CH0097/2021,21J (Delta),1.25
NZL/21MV0827/2021,21J (Delta),1.22
USA/KY-CDC-LC0231512/2021,21J (Delta),1.21
Switzerland/SG-ETHZ-670608/2021,21J (Delta),1.12
PLW/PW-CDC-2-5064370/2021,21J (Delta),1.2
NZL/21MV0802/2021,21J (Delta),1.22
PLW/PW-CDC-2-5064293/2021,21J (Delta),1.18
USA/SC-COVID21-3590/2021,21J (Delta),1.19
OU934937,21J (Delta),1.22
OV104211,21J (Delta),1.22
DJI/NAMRU3_C775/2021,21A (Delta),1.11
Lesotho/UHB-MI-SEB-00896/2021,21J (Delta),1.19
THA/AFRIMS-COV5700/2021,21J (Delta),1.22
NZL/21CH0159/2021,21J (Delta),1.22
NZL/21CV0312/2021,21J (Delta),1.22
NZL/21CV0320/2021,21J (Delta),1.22
RUS/RU-Sar-2789/2021,21J (Delta),1.07
USA/SD-SDPHL-0563/2021,21J (Delta),1.19
RUS/RU-Sar-2790/2021,21J (Delta),1.16
PAK/JRCGR_KHI_SCV-127/2021,21J (Delta),1.16
England/PLYM-1CF1E54/2021,21J (Delta),1.27
EGY/CCHE57357_W4_A065/2021,21J (Delta),1.06
IND/Wuhan/2021,21J (Delta),1.06
USA/PR-CDC-2-4884919/2021,21J (Delta),1.27
NZL/21CV0388/2021,21J (Delta),1.22
OU931680,21A (Delta),1.11
USA/OKPHLCOV0002447/2021,21J (Delta),1.18
USA/AR-UMGC-15643/2021,21J (Delta),1.2
NZL/21CV0420/2021,21J (Delta),1.22
SYC/SS3474/2021,21J (Delta),1.2
USA/GA-CDC-QDX28359993/2021,21J (Delta),1.23
USA/IL-CDC-LC0265757/2021,21J (Delta),1.19
USA/OR-CDC-ASC210102296/2021,21J (Delta),1.16
MWI/MLW00123/2021,21I (Delta),1.16
Switzerland/ZH-UZH-IMV-3ba4f7ac/2021,21J (Delta),1.2
USA/OH-CDC-ASC210126936/2021,21J (Delta),1.22
USA/GA-CDC-4314306-001/2021,21J (Delta),1.19
USA/ME-CDC-2-4972155/2021,21J (Delta),1.25
USA/ID-CDC-IBX243114933223/2021,21J (Delta),1.16
USA/ME-CDCBI-CRSP_WPGRHPRT26BECDRA/2021,21J (Delta),1.19
USA/MO-CDC-ASC210101957/2021,21J (Delta),1.16
USA/ME-CDC-2-4972097/2021,21J (Delta),1.2
USA/NC-CDC-LC0246750/2021,21J (Delta),1.19
OU937749,21J (Delta),1.21
England/MILK-1DACBD8/2021,21J (Delta),1.26
USA/NV-CDC-FG-112922/2021,20A,1.12
USA/KS-CDC-QDX28508522/2021,21J (Delta),1.19
USA/FL-CDC-LC0240144/2021,21J (Delta),1.21
USA/AK-CDC-2-4912375/2021,21J (Delta),1.19
USA/DC-CDC-LC0245235/2021,21J (Delta),1.16
NZL/21MV1330/2021,21J (Delta),1.22
THA/AFRIMS-COV6201/2021,21A (Delta),1.04
KEN/SS2401/2021,21A (Delta),1.12
EGY/CCHE57357_W4_A015/2021,21J (Delta),1.06
Switzerland/BE-IFIK-210913_os_04/2021,21J (Delta),1.19
KEN/SS2404/2021,21A (Delta),1.12
KEN/SS2412/2021,21A (Delta),1.13
OU858029,21I (Delta),1.15
PAK/220473/2021,21I (Delta),1.2
NZL/21MV1424/2021,21J (Delta),1.19
OV103995,21J (Delta),1.2
AUT/SKV-248/2021,21J (Delta),1.23
Switzerland/un-HUG-35270979/2021,21J (Delta),1.15
England/MILK-1D9E9C0/2021,21J (Delta),1.19
AUT/SKV-249/2021,21J (Delta),1.23
USA/CO-CDC-MMB10239479/2021,21J (Delta),1.03
NZL/21MV1397/2021,21J (Delta),1.22
NZL/21MV1398/2021,21J (Delta),1.22
NZL/21MV1425/2021,21J (Delta),1.22
NZL/21MV1410/2021,21J (Delta),1.22
NZL/21MV1395/2021,21J (Delta),1.22
NZL/21MV1406/2021,21J (Delta),1.22
NZL/21MV1411/2021,21J (Delta),1.22
NZL/21MV1392/2021,21J (Delta),1.22
NZL/21MV1396/2021,21J (Delta),1.22
NZL/21MV1391/2021,21J (Delta),1.22
NZL/21MV1394/2021,21J (Delta),1.22
NZL/21MV1412/2021,21J (Delta),1.22
NZL/21MV1407/2021,21J (Delta),1.22
NZL/21MV1426/2021,21J (Delta),1.22
USA/MA-CDCBI-CRSP_MDKLEYNXUESFDBQK/2021,21J (Delta),1.19
KEN/SS2354/2021,21J (Delta),1.26
NZL/21MV1408/2021,21J (Delta),1.26
KEN/SS3750/2021,21A (Delta),1.07
THA/AFRIMS-COV6303/2021,21A (Delta),1.13
BHR/342547791/2021,21A (Delta),1.08
KEN/SS2424/2021,21A (Delta),1.1
KEN/SS2425/2021,21A (Delta),1.11
KEN/SS2413/2021,21A (Delta),1.11
OV310174,21I (Delta),1.14
OU858034,21I (Delta),1.12
BHR/342544836/2021,21I (Delta),1.06
BHR/342544865/2021,21I (Delta),1.22
BHR/921452814/2021,21I (Delta),1.18
BHR/921452838/2021,21I (Delta),1.18
BHR/342552356/2021,21I (Delta),1.23
OU857638,21J (Delta),1.16
BHR/921450648/2021,21J (Delta),1.4
BHR/342551813/2021,21J (Delta),1.17
BHR/921443266/2021,21J (Delta),1.16
BHR/921449013/2021,21J (Delta),1.16
BHR/342547368/2021,21J (Delta),1.16
BHR/921452725/2021,21J (Delta),1.2
BHR/342550162/2021,21J (Delta),1.23
BHR/921452686/2021,21J (Delta),1.19
Switzerland/GE-HUG-35285243/2021,21J (Delta),1.16
Switzerland/VD-CHUV-GEN6942/2021,21J (Delta),1.23
PAK/220731/2021,21J (Delta),1.24
BHR/342546279/2021,21J (Delta),1.15
BHR/921451346/2021,21J (Delta),1.22
NZL/21MV1436/2021,21J (Delta),1.21
NZL/21MV1437/2021,21J (Delta),1.22
NZL/21MV1440/2021,21J (Delta),1.21
NZL/21MV1402/2021,21J (Delta),1.22
NZL/21MV1490/2021,21J (Delta),1.22
NZL/21MV1468/2021,21J (Delta),1.22
NZL/21MV1431/2021,21J (Delta),1.22
NZL/21MV1428/2021,21J (Delta),1.23
NZL/21MV1432/2021,21J (Delta),1.22
NZL/21MV1469/2021,21J (Delta),1.22
NZL/21MV1443/2021,21J (Delta),1.22
NZL/21MV1400/2021,21J (Delta),1.22
NZL/21MV1467/2021,21J (Delta),1.22
NZL/21MV1399/2021,21J (Delta),1.22
NZL/21MV1447/2021,21J (Delta),1.22
NZL/21MV1409/2021,21J (Delta),1.22
NZL/21MV1403/2021,21J (Delta),1.22
NZL/21MV1401/2021,21J (Delta),1.22
NZL/21MV1429/2021,21J (Delta),1.22
NZL/21MV1433/2021,21J (Delta),1.24
NZL/21MV1439/2021,21J (Delta),1.22
KEN/C108665/2021,21J (Delta),1.23
OU857796,21J (Delta),1.16
SYC/SS3491/2021,21J (Delta),1.19
BHR/170227098/2021,21J (Delta),1.28
BHR/342549812/2021,21J (Delta),1.28
BHR/342547395/2021,21J (Delta),1.25
MWI/MLW00196/2021,21J (Delta),1.2
BHR/510193173/2021,21J (Delta),1.14
Switzerland/VD-CHUV-GEN6871/2021,21J (Delta),1.2
Switzerland/BE-IFIK-210913_os_67/2021,21J (Delta),1.16
OV110142,21J (Delta),1.2
OV309325,21J (Delta),1.23
KEN/SS2430/2021,21J (Delta),1.19
England/ALDP-1DC5799/2021,21J (Delta),1.27
BHR/921449910/2021,21J (Delta),1.25
OV301552,21J (Delta),1.22
KEN/SS2437/2021,21A (Delta),1.11
England/ALDP-1DFDEA2/2021,21J (Delta),1.19
NZL/21MV1463/2021,21J (Delta),1.19
NZL/21MV1458/2021,21J (Delta),1.19
NZL/21MV1464/2021,21J (Delta),1.19
NZL/21MV1456/2021,21J (Delta),1.19
NZL/21MV1454/2021,21J (Delta),1.19
NZL/21MV1455/2021,21J (Delta),1.19
OU933323,21J (Delta),1.23
OU934451,21J (Delta),1.2
OV301568,21J (Delta),1.2
USA/VT-CDCBI-CRSP_XXN5IG2LBD4OPN42/2021,21J (Delta),1.22
OU857508,21J (Delta),1.21
USA/ME-CDCBI-CRSP_653VPE6OROYJASVT/2021,21J (Delta),1.23
NZL/21MV1452/2021,21J (Delta),1.22
NZL/21MV1462/2021,21J (Delta),1.22
NZL/21MV1460/2021,21J (Delta),1.24
NZL/21MV1457/2021,21J (Delta),1.22
NZL/21MV1461/2021,21J (Delta),1.22
NZL/21MV1444/2021,21J (Delta),1.25
NZL/21MV1442/2021,21J (Delta),1.22
NZL/21MV1446/2021,21J (Delta),1.22
NZL/21MV1445/2021,21J (Delta),1.22
NZL/21MV1498/2021,21J (Delta),1.22
NZL/21MV1493/2021,21J (Delta),1.22
Liechtenstein/FL-Risch-2191402893/2021,21J (Delta),1.18
SYC/SS3513/2021,21J (Delta),1.24
USA/WA-S14095/2021,21J (Delta),1.2
USA/KY-CDC-ASC210133929/2021,21J (Delta),1.16
USA/CT-CDCBI-CRSP_7N76ZLV5Z4HQTMUU/2021,21J (Delta),1.2
OV301631,21J (Delta),1.2
Switzerland/BE-ETHZ-34024562/2021,21J (Delta),1.19
OV301968,21I (Delta),1.17
THA/AFRIMS-COV6452/2021,21J (Delta),1.33
OU857469,21J (Delta),1.2
OU938155,21J (Delta),1.22
Liechtenstein/FL-Risch-2191601754/2021,21J (Delta),1.24
USA/WI-CDC-FG-119878/2021,21J (Delta),1.2
USA/ND-CDC-IBX282972099120/2021,21J (Delta),1.16
USA/NJ-CDC-LC0257059/2021,21J (Delta),1.19
USA/PA-CDC-LC0267322/2021,21J (Delta),1.19
USA/CO-CDC-MMB10314916/2021,21J (Delta),1.19
NZL/21MV1472/2021,21J (Delta),1.21
NZL/21MV1450/2021,21J (Delta),1.22
NZL/21CV0565/2021,21J (Delta),1.22
NZL/21MV1471/2021,21J (Delta),1.21
NZL/21MV1497/2021,21J (Delta),1.21
NZL/21MV1470/2021,21J (Delta),1.21
NZL/21MV1465/2021,21J (Delta),1.22
NZL/21MV1466/2021,21J (Delta),1.25
NZL/21MV1491/2021,21J (Delta),1.22
NZL/21MV1473/2021,21J (Delta),1.22
NZL/21MV1448/2021,21J (Delta),1.22
NZL/21CV0568/2021,21J (Delta),1.22
SYC/SS3515/2021,21J (Delta),1.19
KEN/SS2438/2021,21J (Delta),1.19
THA/AFRIMS-COV6520/2021,21A (Delta),1.06
KEN/SS2450/2021,21I (Delta),1.16
Switzerland/VD-DIA-021476010001/2021,21J (Delta),1.17
USA/KS-CDC-LC0295755/2021,21J (Delta),1.19
USA/TX-CDC-ASC210141067/2021,21J (Delta),1.2
USA/AZ-CDC-ASC210080626/2021,21J (Delta),1.17
USA/NY-CDC-LC0261762/2021,21J (Delta),1.15
NZL/21MV1505/2021,21J (Delta),1.22
NZL/21MV1496/2021,21J (Delta),1.21
NZL/21MV1504/2021,21J (Delta),1.21
NZL/21MV1485/2021,21J (Delta),1.21
NZL/21MV1492/2021,21J (Delta),1.22
NZL/21MV1501/2021,21J (Delta),1.22
NZL/21MV1506/2021,21J (Delta),1.22
NZL/21MV1499/2021,21J (Delta),1.22
NZL/21MV1494/2021,21J (Delta),1.22
NZL/21MV1488/2021,21J (Delta),1.22
NZL/21MV1502/2021,21J (Delta),1.22
OU858192,21J (Delta),1.15
SYC/SS3518/2021,21J (Delta),1.29
SYC/SS3519/2021,21J (Delta),1.19
SYC/SS3521/2021,21J (Delta),1.23
DJI/NAMRU3_NL039/2021,21J (Delta),1.25
DJI/NAMRU3_NL038/2021,21J (Delta),1.25
DJI/NAMRU3_NL037/2021,21J (Delta),1.25
USA/AK-CDC-LC0281515/2021,21J (Delta),1.24
USA/NE-CDC-LC0295886/2021,21J (Delta),1.2
USA/MT-CDC-LC0282412/2021,21J (Delta),1.25
USA/RI-CDC-ASC210082174/2021,21J (Delta),1.16
USA/MI-CDC-ASC210138801/2021,21J (Delta),1.16
AUT/SKV-250/2021,21J (Delta),1.19
